work_order_id,seat_id,registration,suite,opened_at,closed_at,reported_fault_code,reported_symptom,station,action_taken,part_replaced,outcome,shop_finding,labour_hours,total_cost_eur
WO-70013,D-AXFC-3K,D-AXFC,3K,2024-09-14T07:00:00Z,2024-09-17T07:00:00Z,F-25-2140,"Suite 3K controls dead for approx. 2 min after take-off, then normal again.",MUC,"Functional test only, no defect found",DA-IFE-9002,NFF,No fault found on bench test,2.5,35250
WO-70072,D-AXFD-1K,D-AXFD,1K,2024-09-14T17:00:00Z,2024-09-21T17:00:00Z,F-25-2188,"Privacy divider 1K does not fully stow for landing, had to be pushed by hand.",SIN,Component replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,2.6,0
WO-70003,D-AXFF-4A,D-AXFF,4A,2024-09-14T19:00:00Z,2024-09-18T19:00:00Z,,"Suite 4A: cosmetic scuff on the table edge, no function impact.",MUC,Connector re-seated and locked,,CONFIRMED_FAULT,Defect confirmed on bench test,4.2,0
WO-70079,D-AXFE-4A,D-AXFE,4A,2024-09-17T00:00:00Z,2024-09-25T00:00:00Z,F-25-2188,"Privacy divider 4A does not fully stow for landing, had to be pushed by hand.",JNB,Cleaning and lubrication,,CONFIRMED_FAULT,Defect confirmed on bench test,5.5,0
WO-70032,D-AXFD-1K,D-AXFD,1K,2024-09-22T20:00:00Z,2024-10-01T20:00:00Z,F-25-2166,"1K: USB dead, no light on the port.",JNB,Connector re-seated and locked,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,4.5,3800
WO-70103,D-AXFF-2A,D-AXFF,2A,2024-09-23T02:00:00Z,2024-09-27T02:00:00Z,F-25-2188,"Privacy divider 2A does not fully stow for landing, had to be pushed by hand.",HND,"Functional test only, no defect found",DA-ACT-2205,CONFIRMED_FAULT,Defect confirmed on bench test,4.7,13800
WO-70026,D-AXFF-4K,D-AXFF,4K,2024-09-25T12:00:00Z,2024-10-07T12:00:00Z,,"4K cushion cover loose, cosmetic only.",SIN,"Functional test only, no defect found",,NFF,No fault found on bench test,2.6,0
WO-70133,D-AXFF-3K,D-AXFF,3K,2024-10-01T00:00:00Z,2024-10-03T00:00:00Z,F-25-2101,"3K recline stops halfway, motor sounds loud. Reset via cabin panel no effect.",SIN,Connector re-seated and locked,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,4.9,3800
WO-70078,D-AXFB-2A,D-AXFB,2A,2024-10-01T05:00:00Z,2024-10-13T05:00:00Z,F-25-2166,"USB socket 2A not charging, pax used the spare seat.",MUC,Software reload,DA-CSH-0450,CONFIRMED_FAULT,Defect confirmed on bench test,2.9,3800
WO-70063,D-AXFE-3K,D-AXFE,3K,2024-10-04T12:00:00Z,2024-10-07T12:00:00Z,F-25-2166,"3K: USB dead, no light on the port.",MUC,Software reload,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,3.9,3800
WO-70059,D-AXFE-3A,D-AXFE,3A,2024-10-05T04:00:00Z,2024-10-11T04:00:00Z,F-25-2166,"3A: USB dead, no light on the port.",JNB,Cleaning and lubrication,,CONFIRMED_FAULT,Defect confirmed on bench test,1.2,0
WO-70087,D-AXFB-3K,D-AXFB,3K,2024-11-06T00:00:00Z,2024-11-11T00:00:00Z,F-23-3401,"3K screen off after 6 hrs cruise, seat box very warm to the touch.",SIN,Software reload,DA-HRN-7712,NFF,No fault found on bench test,3.6,5250
WO-70096,D-AXFC-2K,D-AXFC,2K,2024-11-07T11:00:00Z,2024-11-11T11:00:00Z,F-25-2140,"2K: seat panel froze during climb, worked again in cruise. Not reproducible on ground.",JFK,Connector re-seated and locked,DA-IFE-9002,NFF,No fault found on bench test,3.8,15250
WO-70002,D-AXFD-2K,D-AXFD,2K,2024-11-08T21:00:00Z,2024-11-12T21:00:00Z,F-25-2166,"USB socket 2K not charging, pax used the spare seat.",HND,Harness segment replaced,DA-IFE-9002,CONFIRMED_FAULT,Defect confirmed on bench test,1.1,3800
WO-70125,D-AXFC-1A,D-AXFC,1A,2024-11-09T02:00:00Z,2024-11-18T02:00:00Z,,"1A cushion cover loose, cosmetic only.",JFK,Cleaning and lubrication,,CONFIRMED_FAULT,Defect confirmed on bench test,5.0,0
WO-70121,D-AXFA-4A,D-AXFA,4A,2024-11-10T09:00:00Z,2024-11-12T09:00:00Z,F-25-2140,"Suite 4A controls dead for approx. 2 min after take-off, then normal again.",JNB,Component replaced,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,5.6,23800
WO-70031,D-AXFC-3K,D-AXFC,3K,2024-11-11T03:00:00Z,2024-11-13T03:00:00Z,F-25-2166,"3K: USB dead, no light on the port.",MUC,Harness segment replaced,DA-ACT-2205,CONFIRMED_FAULT,Defect confirmed on bench test,2.0,3800
WO-70083,D-AXFC-3A,D-AXFC,3A,2024-11-19T03:00:00Z,2024-11-23T03:00:00Z,F-25-2140,"3A: seat panel froze during climb, worked again in cruise. Not reproducible on ground.",FRA,Software reload,DA-CSH-0450,CONFIRMED_FAULT,Defect confirmed on bench test,2.1,33800
WO-70095,D-AXFB-1A,D-AXFB,1A,2024-11-27T22:00:00Z,2024-12-03T22:00:00Z,F-23-3401,"IFE at 1A went black mid-flight, came back after approx. 20 min.",JFK,Connector re-seated and locked,,NFF,No fault found on bench test,1.1,0
WO-70106,D-AXFE-4K,D-AXFE,4K,2024-12-01T05:00:00Z,2024-12-07T05:00:00Z,F-25-2166,"USB socket 4K not charging, pax used the spare seat.",SIN,Cleaning and lubrication,DA-ACT-2205,CONFIRMED_FAULT,Defect confirmed on bench test,5.1,3800
WO-70097,D-AXFC-4A,D-AXFC,4A,2024-12-02T23:00:00Z,2024-12-09T23:00:00Z,F-23-3401,"IFE at 4A went black mid-flight, came back after approx. 20 min.",FRA,Cleaning and lubrication,,CONFIRMED_FAULT,Defect confirmed on bench test,1.5,0
WO-70025,D-AXFA-4A,D-AXFA,4A,2024-12-05T18:00:00Z,2024-12-13T18:00:00Z,F-25-2140,"Suite 4A controls dead for approx. 2 min after take-off, then normal again.",GRU,Connector re-seated and locked,DA-CSH-0450,CONFIRMED_FAULT,Defect confirmed on bench test,1.4,33800
WO-70123,D-AXFD-3A,D-AXFD,3A,2024-12-06T14:00:00Z,2024-12-10T14:00:00Z,,"Suite 3A: cosmetic scuff on the table edge, no function impact.",JFK,Component replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,4.8,0
WO-70009,D-AXFF-3A,D-AXFF,3A,2024-12-15T14:00:00Z,2024-12-18T14:00:00Z,F-25-2140,"Intermittent loss of seat control 3A, happened three times, always around turbulence.",FRA,Cleaning and lubrication,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,1.4,33800
WO-70116,D-AXFE-1K,D-AXFE,1K,2024-12-19T08:00:00Z,2024-12-23T08:00:00Z,,"Suite 1K: cosmetic scuff on the table edge, no function impact.",HND,Software reload,,CONFIRMED_FAULT,Defect confirmed on bench test,4.9,0
WO-70099,D-AXFC-1K,D-AXFC,1K,2024-12-21T08:00:00Z,2024-12-25T08:00:00Z,F-25-2101,"Seat 1K backrest jerky, would not go flat for the night service.",MUC,Connector re-seated and locked,DA-CSH-0450,CONFIRMED_FAULT,Defect confirmed on bench test,4.6,13800
WO-70130,D-AXFE-4K,D-AXFE,4K,2025-01-03T19:00:00Z,2025-01-13T19:00:00Z,,"Suite 4K: cosmetic scuff on the table edge, no function impact.",JFK,Component replaced,,NFF,No fault found on bench test,1.2,0
WO-70117,D-AXFF-2K,D-AXFF,2K,2025-01-04T07:00:00Z,2025-01-04T07:00:00Z,F-25-2166,"USB socket 2K not charging, pax used the spare seat.",JNB,Harness segment replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,5.5,0
WO-70010,D-AXFF-1A,D-AXFF,1A,2025-01-05T23:00:00Z,2025-01-10T23:00:00Z,F-25-2101,"Suite 1A: backrest moves very slowly, pax complained twice during cruise.",FRA,Software reload,DA-IFE-9002,CONFIRMED_FAULT,Defect confirmed on bench test,3.7,33800
WO-70007,D-AXFE-4K,D-AXFE,4K,2025-01-14T07:00:00Z,2025-01-22T07:00:00Z,F-25-2140,"4K: seat panel froze during climb, worked again in cruise. Not reproducible on ground.",SIN,"Functional test only, no defect found",DA-IFE-9002,NFF,No fault found on bench test,5.8,25250
WO-70024,D-AXFD-1A,D-AXFD,1A,2025-01-15T15:00:00Z,2025-01-18T15:00:00Z,F-23-3401,"IFE at 1A went black mid-flight, came back after approx. 20 min.",FRA,Connector re-seated and locked,DA-HRN-7712,NFF,No fault found on bench test,5.5,5250
WO-70065,D-AXFA-1A,D-AXFA,1A,2025-01-18T18:00:00Z,2025-01-30T18:00:00Z,F-25-2101,"1A recline stops halfway, motor sounds loud. Reset via cabin panel no effect.",JFK,Component replaced,DA-ACT-2205,CONFIRMED_FAULT,Defect confirmed on bench test,2.7,33800
WO-70115,D-AXFD-4A,D-AXFD,4A,2025-01-18T20:00:00Z,2025-01-24T20:00:00Z,F-23-3401,"IFE at 4A went black mid-flight, came back after approx. 20 min.",HND,Connector re-seated and locked,,NFF,No fault found on bench test,3.6,0
WO-70129,D-AXFA-3A,D-AXFA,3A,2025-01-28T19:00:00Z,2025-01-30T19:00:00Z,F-23-3401,"IFE at 3A went black mid-flight, came back after approx. 20 min.",JFK,Harness segment replaced,DA-CSH-0450,NFF,No fault found on bench test,5.1,5250
WO-70052,D-AXFC-4K,D-AXFC,4K,2025-02-02T12:00:00Z,2025-02-08T12:00:00Z,F-25-2188,"4K divider stuck approx. 20 cm out, cabin crew secured it manually.",JNB,Cleaning and lubrication,DA-ACT-2201,CONFIRMED_FAULT,Defect confirmed on bench test,5.0,13800
WO-70012,D-AXFC-2A,D-AXFC,2A,2025-02-04T11:00:00Z,2025-02-09T11:00:00Z,F-23-3401,"IFE at 2A went black mid-flight, came back after approx. 20 min.",SIN,Software reload,DA-HRN-7712,CONFIRMED_FAULT,Defect confirmed on bench test,3.0,3800
WO-70118,D-AXFC-3A,D-AXFC,3A,2025-02-06T02:00:00Z,2025-02-14T02:00:00Z,F-23-3401,"3A screen off after 6 hrs cruise, seat box very warm to the touch.",JFK,"Functional test only, no defect found",DA-IFE-9002,NFF,No fault found on bench test,4.1,5250
WO-70105,D-AXFE-1A,D-AXFE,1A,2025-02-08T11:00:00Z,2025-02-09T11:00:00Z,F-25-2166,"1A: USB dead, no light on the port.",MUC,Connector re-seated and locked,DA-HRN-7712,CONFIRMED_FAULT,Defect confirmed on bench test,4.9,3800
WO-70092,D-AXFB-4A,D-AXFB,4A,2025-02-15T15:00:00Z,2025-02-26T15:00:00Z,F-23-3401,"4A screen off after 6 hrs cruise, seat box very warm to the touch.",MUC,Component replaced,DA-CON-3390,CONFIRMED_FAULT,Defect confirmed on bench test,2.0,3800
WO-70135,D-AXFB-2A,D-AXFB,2A,2025-03-01T04:00:00Z,2025-03-08T04:00:00Z,F-25-2101,"2A recline stops halfway, motor sounds loud. Reset via cabin panel no effect.",MUC,Harness segment replaced,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,0.6,13800
WO-70005,D-AXFD-1A,D-AXFD,1A,2025-03-04T04:00:00Z,2025-03-05T04:00:00Z,F-23-3401,"IFE at 1A went black mid-flight, came back after approx. 20 min.",MUC,"Functional test only, no defect found",DA-ACT-2201,CONFIRMED_FAULT,Defect confirmed on bench test,0.7,3800
WO-70034,D-AXFD-3A,D-AXFD,3A,2025-03-04T10:00:00Z,2025-03-08T10:00:00Z,F-25-2188,"Privacy divider 3A does not fully stow for landing, had to be pushed by hand.",MUC,Harness segment replaced,DA-ACT-2201,CONFIRMED_FAULT,Defect confirmed on bench test,2.4,23800
WO-70021,D-AXFD-3K,D-AXFD,3K,2025-03-12T06:00:00Z,2025-03-20T06:00:00Z,F-23-3401,"IFE at 3K went black mid-flight, came back after approx. 20 min.",JNB,Connector re-seated and locked,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,3.7,3800
WO-70119,D-AXFE-3A,D-AXFE,3A,2025-03-12T10:00:00Z,2025-03-18T10:00:00Z,,"Suite 3A: cosmetic scuff on the table edge, no function impact.",JFK,Cleaning and lubrication,,NFF,No fault found on bench test,1.8,0
WO-70071,D-AXFE-3K,D-AXFE,3K,2025-03-16T13:00:00Z,2025-03-24T13:00:00Z,F-25-2101,"Seat 3K backrest jerky, would not go flat for the night service.",HND,Connector re-seated and locked,,CONFIRMED_FAULT,Defect confirmed on bench test,2.1,10000
WO-70058,D-AXFD-4A,D-AXFD,4A,2025-04-05T06:00:00Z,2025-04-17T06:00:00Z,,"Suite 4A: cosmetic scuff on the table edge, no function impact.",FRA,Component replaced,,CONFIRMED_FAULT,Defect confirmed on bench test,1.0,0
WO-70090,D-AXFC-3A,D-AXFC,3A,2025-04-08T08:00:00Z,2025-04-09T08:00:00Z,F-25-2101,"Seat 3A backrest jerky, would not go flat for the night service.",JNB,Connector re-seated and locked,,CONFIRMED_FAULT,Defect confirmed on bench test,3.4,30000
WO-70100,D-AXFC-3K,D-AXFC,3K,2025-04-18T10:00:00Z,2025-04-28T10:00:00Z,F-25-2166,"USB socket 3K not charging, pax used the spare seat.",JFK,Software reload,DA-SCU-4410,CONFIRMED_FAULT,Defect confirmed on bench test,5.5,3800
WO-70137,D-AXFB-1A,D-AXFB,1A,2025-04-21T01:00:00Z,2025-05-01T01:00:00Z,F-25-2140,"1A: seat panel froze during climb, worked again in cruise. Not reproducible on ground.",HND,Harness segment replaced,DA-SCU-4410,NFF,No fault found on bench test,5.6,35250
WO-70111,D-AXFA-1K,D-AXFA,1K,2025-04-21T19:00:00Z,2025-04-24T19:00:00Z,F-25-2166,"USB socket 1K not charging, pax used the spare seat.",GRU,Component replaced,DA-PSU-5150,CONFIRMED_FAULT,Defect confirmed on bench test,4.0,3800
WO-70066,D-AXFA-4A,D-AXFA,4A,2025-04-23T23:00:00Z,2025-05-03T23:00:00Z,F-25-2188,"Privacy divider 4A does not fully stow for landing, had to be pushed by hand.",GRU,Cleaning and lubrication,DA-CSH-0450,CONFIRMED_FAULT,Defect confirmed on bench test,2.6,13800
WO-70019,D-AXFA-3A,D-AXFA,3A,2025-04-24T09:00:00Z,2025-05-04T09:00:00Z,F-25-2166,"USB socket 3A not charging, pax used the spare seat.",SIN,Connector re-seated and locked,DA-DIV-1180,CONFIRMED_FAULT,Defect confirmed on bench test,4.4,3800
